serial,machine,domain,title,verdict,validator_url,paper_url,doi
KX-L1-A4,shared,materials,ML interatomic-potential alloy screen (CHGNet / pymatgen),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A4.html,https://www.kronosfusionenergy.com/publications/low-activation-alloys.html,https://doi.org/10.5281/zenodo.22132119
KX-L1-A5,shared,uq,Global sensitivity & UQ (40k-sample Monte-Carlo),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A5.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
KX-L1-A6,shared,vv,Formal V&V suite (MMS / GCI / Sobol / PCMM),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A6.html,https://www.kronosfusionenergy.com/publications/verification-and-validation-47-code-provenance.html,https://doi.org/10.5281/zenodo.22132164
KX-L1-A7,shared,extrapolation,Extrapolation ledger & multi-device post-diction (9-device),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A7.html,https://www.kronosfusionenergy.com/publications/integrated-platform-overview.html,https://doi.org/10.5281/zenodo.22132156
KX-L1-A10,shared,reproducibility,KRONOS reduced-order engine & frozen-anchor reproducibility suite,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A10.html,https://www.kronosfusionenergy.com/publications/verification-and-validation-47-code-provenance.html,https://doi.org/10.5281/zenodo.22132164
KX-L1-A11,shared,ml,Physics-informed equilibrium surrogate (PINN),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A11.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
KX-L1-A12,shared,ml,Graph-NN state reconstruction & disruption/quench-precursor,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A12.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
KX-L1-A13,shared,control,Certifiable closed-loop control (CBF-certified safety clamp),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A13.html,https://www.kronosfusionenergy.com/publications/ai-quantum-control.html,https://doi.org/10.5281/zenodo.22132484
KX-L1-A14,shared,uq,Surrogate-accelerated Bayesian optimization UQ & calibration,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A14.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
KX-L1-A15,shared,twin,Magnet digital-twin + quench-precursor detection,revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A15.html,https://www.kronosfusionenergy.com/publications/ai-quantum-control.html,https://doi.org/10.5281/zenodo.22132484
KX-L1-A16,shared,tensor,Quantum-inspired tensor-network kinetic solver (classical),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A16.html,https://www.kronosfusionenergy.com/publications/tensor-network-kinetic-solver.html,https://doi.org/10.5281/zenodo.22132192
KX-L1-A17,shared,quantum-sim,Materials VQE proof-of-concept (classical simulator),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A17.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L1-A18,shared,sensing,Quantum-sensing diagnostics spec (NV / atomic / SQUID),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A18.html,https://www.kronosfusionenergy.com/publications/quench-detection-and-nv-sensing.html,https://doi.org/10.5281/zenodo.22132131
BR-L2-A1c,breeder,turbulence,Core turbulent transport Tier 1c kinetic-e/EM/converged,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A1c.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L2-A1e,breeder,turbulence,Core turbulent transport Tier 2 2-D flux map,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A1e.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L2-A6,breeder,neoclassical,Bootstrap current / neoclassical (NEO),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A6.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L2-A7,breeder,neutronics,Neutronics / tritium breeding (OpenMC),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A7.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
BR-L2-A7u,breeder,neutronics,Advanced-blanket TBR uplift (toward 4 kg-T/yr target),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A7u.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
BR-L2-A8,breeder,materials,Materials discovery (ML screen),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A8.html,https://www.kronosfusionenergy.com/publications/low-activation-alloys.html,https://doi.org/10.5281/zenodo.22132119
BR-L2-A9,breeder,dft,DFT validation of the alloys (Quantum ESPRESSO),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A9.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
BR-L2-A10,breeder,disruptions,Disruptions & runaway electrons,estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A10.html,https://www.kronosfusionenergy.com/publications/disruptions-and-runaway-electrons.html,https://doi.org/10.5281/zenodo.22132102
BR-L2-A11,breeder,divertor,Power exhaust / divertor detachment,estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A11.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A11b,breeder,divertor,Divertor closing window advanced-divertor requirement,estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A11b.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A11b-s3,breeder,divertor,Stacked-lever detachment validation (2-D edge code),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A11b-s3.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A11g,breeder,divertor,Duty-cycle / pulsed operation,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A11g.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A11h,breeder,divertor,Minimum-mission-power option,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A11h.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A11-SUM,breeder,divertor,Divertor portfolio stacking summary,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A11-SUM.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A12,breeder,ml,ML transport surrogate,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A12.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
KX-L3-A1,shared,quantum,Full 6-D kinetic plasma dynamics (quantum Hamiltonian sim),estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A1.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L3-A2,shared,quantum,Exact materials electronic structure (quantum chemistry beyond DFT),estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A2.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L3-A3,shared,quantum,Quantum optimization (design-space / fuel-cycle / fleet),estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A3.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L3-A4,shared,quantum,Quantum machine-learning surrogates,estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A4.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L3-A5,shared,quantum,Quantum-enhanced diagnostics / sensing,estimated,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A5.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L3-A6,shared,quantum,Fault-tolerant quantum-computation resource estimates,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A6.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
KX-L3-A7,shared,quantum,Dated quantum-technology roadmap (thresholds vs time),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L3-A7.html,https://www.kronosfusionenergy.com/publications/quantum-computing-for-fusion.html,https://doi.org/10.5281/zenodo.22132180
ENV-A1,breeder,environment,Zero-carbon operation + lifecycle,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/ENV-A1.html,https://www.kronosfusionenergy.com/publications/inherent-safety-and-environmental-case.html,https://doi.org/10.5281/zenodo.22132133
ENV-A2,breeder,environment,Activation & radioactive waste (aneutronic edge),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/ENV-A2.html,https://www.kronosfusionenergy.com/publications/inherent-safety-and-environmental-case.html,https://doi.org/10.5281/zenodo.22132133
ENV-A3,breeder,environment,Inherent safety walk-away no meltdown,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/ENV-A3.html,https://www.kronosfusionenergy.com/publications/inherent-safety-and-environmental-case.html,https://doi.org/10.5281/zenodo.22132133
ENV-A4,breeder,environment,Fuel abundance + resource footprint,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/ENV-A4.html,https://www.kronosfusionenergy.com/publications/inherent-safety-and-environmental-case.html,https://doi.org/10.5281/zenodo.22132133
SC-BR-1,breeder,supply-chain,Critical-materials supply chain (REBCO/6Li/Be/W),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/SC-BR-1.html,https://www.kronosfusionenergy.com/publications/supply-chain-and-fleet-buildability.html,https://doi.org/10.5281/zenodo.22132221
SC-BR-2,breeder,supply-chain,Build & manufacturability (centrepost/6Li blanket/coil qual),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/SC-BR-2.html,https://www.kronosfusionenergy.com/publications/supply-chain-and-fleet-buildability.html,https://doi.org/10.5281/zenodo.22132221
SC-BR-3,breeder,supply-chain,Site licensing & build sequence,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/SC-BR-3.html,https://www.kronosfusionenergy.com/publications/supply-chain-and-fleet-buildability.html,https://doi.org/10.5281/zenodo.22132221
BU-L1-A1,burner,reduced-order,Burner 0-D tandem-mirror power balance (Pastukhov-plug Mode-M),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L1-A1.html,https://www.kronosfusionenergy.com/publications/breeder.html,https://doi.org/10.5281/zenodo.22132235
BU-L1-A2,burner,structural,Plug-coil structural qualification (analytic thick-wall -> 3-D FEA),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L1-A2.html,https://www.kronosfusionenergy.com/publications/magnets.html,https://doi.org/10.5281/zenodo.22132475
KX-L1-A9,burner,commercial,Application-fit & commercial de-risking (defense / data-center),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/KX-L1-A9.html,https://www.kronosfusionenergy.com/publications/integrated-platform-overview.html,https://doi.org/10.5281/zenodo.22132156
BU-L1-A10,burner,dec,DEC direct-conversion efficiency,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L1-A10.html,https://www.kronosfusionenergy.com/publications/direct-energy-conversion.html,https://doi.org/10.5281/zenodo.22132480
AG-L1-A1,burner,aegis,Islanded / forward-base operation (Aegis),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/AG-L1-A1.html,https://www.kronosfusionenergy.com/publications/generator.html,https://doi.org/10.5281/zenodo.22132474
AG-L1-A2,burner,aegis,Personnel-proximity dose + transportability (Aegis),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/AG-L1-A2.html,https://www.kronosfusionenergy.com/publications/generator.html,https://doi.org/10.5281/zenodo.22132474
MV-L1-A1,burner,metrovolt,Data-center load-following + uptime (MetroVolt),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/MV-L1-A1.html,https://www.kronosfusionenergy.com/publications/metrovolt-hvdc-native-power-interface.html,https://doi.org/10.5281/zenodo.22132211
MV-L1-A2,burner,metrovolt,Waste-heat integration (MetroVolt),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/MV-L1-A2.html,https://www.kronosfusionenergy.com/publications/metrovolt-hvdc-native-power-interface.html,https://doi.org/10.5281/zenodo.22132211
MV-L1-A3,burner,metrovolt,Direct-DC delivery via DEC (MetroVolt),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/MV-L1-A3.html,https://www.kronosfusionenergy.com/publications/metrovolt-hvdc-native-power-interface.html,https://doi.org/10.5281/zenodo.22132211
BU-L2-A2,burner,design-space,Design-space + net-gain database,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L2-A2.html,https://www.kronosfusionenergy.com/publications/admissible-operating-window-synthesis.html,https://doi.org/10.5281/zenodo.22132231
BU-L2-A3,burner,benchmark,WHAM benchmark,revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L2-A3.html,https://www.kronosfusionenergy.com/publications/verification-and-validation-47-code-provenance.html,https://doi.org/10.5281/zenodo.22132164
BU-L2-A5,burner,microstability,Velocity-space microstability (DCLC / AIC loss-cone),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L2-A5.html,https://www.kronosfusionenergy.com/publications/dclc-loss-cone-microstability.html,https://doi.org/10.5281/zenodo.22132170
BU-L2-A6,burner,transport,Central-cell radial transport,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L2-A6.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
SC-BU-1,burner,supply-chain,Critical-materials supply chain (REBCO >=30T plug / alloys),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/SC-BU-1.html,https://www.kronosfusionenergy.com/publications/supply-chain-and-fleet-buildability.html,https://doi.org/10.5281/zenodo.22132221
SC-BU-2,burner,supply-chain,Build & manufacturability (>=30T plug coil / two housings),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/SC-BU-2.html,https://www.kronosfusionenergy.com/publications/supply-chain-and-fleet-buildability.html,https://doi.org/10.5281/zenodo.22132221
SC-BU-3,burner,supply-chain,Site licensing & build sequence,reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/SC-BU-3.html,https://www.kronosfusionenergy.com/publications/supply-chain-and-fleet-buildability.html,https://doi.org/10.5281/zenodo.22132221
BR-L2-A16,breeder,neoclassical,Neoclassical bootstrap & flows - first-principles (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A16.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L2-A17,breeder,transport,Quasilinear turbulent transport - TGLF+TGYRO (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A17.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L2-A18,breeder,turbulence,Linear gyrokinetic stability spectrum (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A18.html,https://www.kronosfusionenergy.com/publications/negative-triangularity-confinement.html,https://doi.org/10.5281/zenodo.22132098
BR-L2-A19,breeder,equilibrium,Free-boundary equilibrium + ideal-MHD dW (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A19.html,https://www.kronosfusionenergy.com/publications/ideal-mhd-stability.html,https://doi.org/10.5281/zenodo.22132110
BR-L2-A20,breeder,fast-ion,Fast-ion orbit-following + first-wall load (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A20.html,https://www.kronosfusionenergy.com/publications/alpha-fast-product-confinement.html,https://doi.org/10.5281/zenodo.22132106
BR-L2-A21,breeder,divertor,Edge/SOL detachment 1-D/2-D (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A21.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A22,breeder,neutronics,CAD-faithful neutronics (STEP->DAGMC) (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A22.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
BR-L2-A23,breeder,activation,Activation inventory + shutdown-dose R2S (local),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A23.html,https://www.kronosfusionenergy.com/publications/low-activation-alloys.html,https://doi.org/10.5281/zenodo.22132119
BR-L2-A24,breeder,damage,PKA spectra -> DPA cascades (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A24.html,https://www.kronosfusionenergy.com/publications/first-wall-neutron-damage-lifetime.html,https://doi.org/10.5281/zenodo.22132198
BR-L2-A25,breeder,tritium,Tritium transport & permeation (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A25.html,https://www.kronosfusionenergy.com/publications/tritium-fuel-cycle-and-breeding-ladder.html,https://doi.org/10.5281/zenodo.22132123
BR-L2-A26,breeder,materials,Microstructure KMC - He/H bubbles (local),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A26.html,https://www.kronosfusionenergy.com/publications/low-activation-alloys.html,https://doi.org/10.5281/zenodo.22132119
BR-L2-A27,breeder,pmi,PMI sputtering & erosion (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A27.html,https://www.kronosfusionenergy.com/publications/divertor-portfolio.html,https://doi.org/10.5281/zenodo.22132115
BR-L2-A28,breeder,nucdata,Nuclear-data processing & UQ (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A28.html,https://www.kronosfusionenergy.com/publications/nuclear-data-uq-for-the-tbr.html,https://doi.org/10.5281/zenodo.22132200
BR-L2-A29,breeder,radiation,Radiated-power / impurity CR (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A29.html,https://www.kronosfusionenergy.com/publications/synchrotron-radiation-transport.html,https://doi.org/10.5281/zenodo.22132195
BR-L2-A30,breeder,systems,Systems / POPCON operating-point (local),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A30.html,https://www.kronosfusionenergy.com/publications/integrated-platform-overview.html,https://doi.org/10.5281/zenodo.22132156
BU-L2-A7,burner,microstability,Velocity-space microstability PIC (local),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L2-A7.html,https://www.kronosfusionenergy.com/publications/dclc-loss-cone-microstability.html,https://doi.org/10.5281/zenodo.22132170
BU-L2-A8,burner,rf,RF & Fokker-Planck ray/kinetics (local),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BU-L2-A8.html,https://www.kronosfusionenergy.com/publications/rf-alpha-channeling.html,https://doi.org/10.5281/zenodo.22132168
BR-L2-A31,breeder,dft,Low-activation first-wall alloy - DFT composition-of-matter (Ti-W-Fe-Cr),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A31.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
BR-L2-A32,breeder,dft,High-cohesion divertor alloy - DFT (Ta-Re-W-Ti-V),revised,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A32.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
BR-L2-A33,breeder,dft,Direct-energy-conversion electrode alloy - DFT (W-Ti-Cr-Ta-V),reproduced,https://www.kronosfusionenergy.com/Physics_Validation_Simulation/gate/BR-L2-A33.html,https://www.kronosfusionenergy.com/publications/ml-potential-materials-discovery-pipeline.html,https://doi.org/10.5281/zenodo.22132229
